Teacher,Title/Subject,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,Document Type,EID,
tnt,An association rule mining approach to discover demand and supply patterns based on Thai social media data,2021,International Journal of Knowledge and  Systems Science,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104037866&doi=10.4018%2fIJKSS.2021040101&partnerID=40&md5=49391291f5d737def1bf7779bfa6df1d,"In the digital age, social media technology has an important role as a communication platform for interpersonal interactions in the online virtual world. In addition, social media has impacted product exchange behavior in both vendors and buyers, with a shift from the traditional sales model to communication between parties via social media. Social media marketing, an online means of buying, selling, and exchanging goods and services, is increasingly popular due to convenience, speed, and greater choices. This trend has grown rapidly and is set to expand, leading to increased interest in research which analyzes and processes social media marketing data to gain a new integrated body of knowledge to better serve online business transactions. This research covers a new field, which may cause research and development limitations requiring background knowledge in several areas, such as digital technology, data analytics, and business analysis. This research aims to develop a framework to search for association rule mining of demand and supply data on social media platforms. Data is collected from Twitter and underwent cleansing and labeling for separating into five groups. Hashtag data from tweets is then extracted and transformed to input attributes of the framework. Next, association rule mining is performed using the Apriori algorithm in order to determine frequent items and extract candidate association rules. The last stage is rule selection, which uses Twitter-specific statistical attributes, that is, number of retweets and likes, to select highly effective association rules. The findings are that it is possible to mine association rules relating to demand and supply on Twitter. Based on an analysis of the association rule results, the content of those rules reflects trending activities and events at different times. Such information can be analyzed in further research to design improvements in social media marketing. © 2021, IGI Global.",Association rule mining; Demand and supply analysis; Social media analysis,,Article,2-s2.0-85104037866,
pps,Improvement of Difficulty Parameter Equating base on Ability Parameter Distribution Adjustment,2021,KST 2021 - 2021 13th International Conference Knowledge and Smart Technology,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105890877&doi=10.1109%2fKST51265.2021.9415809&partnerID=40&md5=0b66e2520e313c77d9a690c0860787eb,"In automated test construction, one of the remaining issues is an inaccurate estimation of exam item parameters from different examinee ability distribution in linear equating. This work proposes a method to adjust the examinee's ability distribution to prevent carrying on error rates from the previous calibration to affect later procedures. By making the examinee's ability distribution in the minor' group to be similar to the examinee's ability distribution in the major distribution, the few errors are generated. From experiments, the proposed methods yield better results than those of baseline in terms of Root Mean Square Error in all test combinations. © 2021 IEEE.",distribution; Item Response Theory (IRT); Linear Equating; parameter estimation; test,Mean square error; Automated test construction; Error rate; Parameter distributions; Root mean square errors; Errors,Conference Paper,2-s2.0-85105890877,
pps,Data Preparation for Reducing Computational Time with Transpose Stack Matrix for Action Recognition,2021,KST 2021 - 2021 13th International Conference Knowledge and Smart Technology,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105869338&doi=10.1109%2fKST51265.2021.9415834&partnerID=40&md5=14a87accd9cf65820b2074a31d7841b5,Training model in deep learning on action recognition faces a problem with high computational cost and ineffective performance to deploy in common devices. The goal of this research is to reduce the computational cost using the data preparation technique called transpose stack matrix (TSM). TSM can be applied with convolution2D and extracts spatiotemporal features. We perform experiments using two datasets including KTH and UCF101(spilt-1). The results show that TSM requires less training time than I3D approach and has satisfactory performance. TSM has higher accuracy than I3D with 73.04% on UCF101 while TSM has accuracy approximate to I3D with 72.69% on KTH. When training on 5 epochs. © 2021 IEEE.,Action recognition; Computational cost; Deep learning,Deep learning; Action recognition; Computational costs; Computational time; Data preparation; Spatio temporal features; Stack matrix; Training model; Training time; Matrix algebra,Conference Paper,2-s2.0-85105869338,
ppr,Overhead study of telegraf as a real-time monitoring agent,2020,JCSSE 2020 - 17th International Joint Conference on Computer Science and Software Engineering,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098488755&doi=10.1109%2fJCSSE49651.2020.9268333&partnerID=40&md5=d7ef905c30c8146e4636e3e346f971ce,"Large-scale distributed systems have become an essential part of our everyday life. These systems have a large number of hardware and software components, often cooperating in complex and unpredictable ways. Operating these kinds of systems requires centralized monitoring to understand their overall states. While running software to collect metrics in a server is considered common nowadays, it often goes unstudied the impact metric collection software have on the base system. This is especially important in low-power, IoT applications. According to our review, one particular software, Telegraf, has never been formally studied before in terms of how much overhead Telegraf adds to the base system. In this work, we conducted several experiments to study how the base system is affected by Telegraf in two scenarios: a datacenter server and an IoT node. The results show that Telegraf is lightweight and suitable to serve as a real-time monitoring agent in both scenarios. Copyright © JCSSE 2020 - 17th International Joint Conf. on Computer Science and Software Engineering.",Datacenter; Experimental study; IoT; Monitoring; Overhead; Resource utilization,,Conference Paper,2-s2.0-85098488755,
ssr,Method Evaluation for Software Testability on Object Oriented Code,2020,"2020 59th Annual Conference of the Society of Instrument and Control Engineers of Japan, SICE 2020",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096361247&partnerID=40&md5=9aee2369577fba783126cb5f08076d28,"In software testability, there are various software measurement methods and metrics available for selection. To conduct the software testability evaluation, the combination of software expert tester judgement and appropriate metrics selection has reflected the of software quality accuracy. However, due to perspective of software expert tester, the software measurement and metric selection can lead to an inaccurate software testability result. Moreover, time and budget waste in conduct the software testability evaluation. Thus, this research aims to develop a testability measurement on model on Object-oriented programming software that will facilitate the accurate evaluation result. The investigation on how the factors of classes in a system influent the test effort. The research covers the gap analysis, automatic model creation with ANNs of AI Technology, and testability evaluation result comparison. © 2020 The Society of Instrument and Control Engineers - SICE.",Software Metrics tools; Software System Evaluation; Software Testability Metric,Artificial intelligence; Budget control; Computer software selection and evaluation; Quality control; Software quality; Appropriate metrics; Automatic modeling; Evaluation results; Method evaluation; Object-oriented code; Software Measurement; Software testability; Testability evaluation; Object oriented programming,Conference Paper,2-s2.0-85096361247,
tnt,Sentiment Classification on Thai Social Media Using a Domain-Specific Trained Lexicon,2020,"17th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology, ECTI-CON 2020",1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091874300&doi=10.1109%2fECTI-CON49241.2020.9158329&partnerID=40&md5=cf46b7b78af29a1e13c9ba3d72eafb43,"Social media contains many valuable documents which can be used to retrieve insights into any targeted topic. Sentiment analysis is a task to extract opinions of people out of their writing. Although a method using a sentiment lexicon is suitable for sentiment classification on social media documents, a lexicon created without consideration of any specific topic domain may not reflect actual intention in the domain of the considered documents. This study compares a sentiment lexicon created from documents in a specific domain with a generic lexicon. The experimental results show that using a specific lexicon improves classification performance, particularly on documents having non-neutral sentiment. © 2020 IEEE.",domain-specific lexicon; lexicon-based sentiment classification; sentiment analysis; Thai social media,Information retrieval systems; Social networking (online); Classification performance; Domain specific; Non-neutral; Sentiment classification; Sentiment lexicons; Social media; Sentiment analysis,Conference Paper,2-s2.0-85091874300,
tnt,Extraction of Trend Keywords from Thai Twitters using N-Gram Word Combination,2020,"17th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology, ECTI-CON 2020",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091845831&doi=10.1109%2fECTI-CON49241.2020.9158061&partnerID=40&md5=b1b34958a6bbd50938a98a4892cb96fd,"Extracting keywords from text on social media facilitates people to update news and trends. It reduces time spent for identifying main content from huge amount of data, and it can be used to identify situations or events that most of people mention in each period of time. This paper proposes a method for extracting keywords from Thai text on social media. A N-gram-based word-combination technique is presented to segment words that are not in dictionaries and increase the precision of word segmentation. Posts on Twitter concerning universities in Thailand are used as a case study for extracting keywords and analyzing trends. The experimental results show that the proposed method yield the highest precision of 70%. © 2020 IEEE.",keyword extraction; Social media; Thai university; twitter data; word combination,Computer science; Computers; Electrical engineering; Mathematical techniques; N-grams; Social media; Thailand; Time spent; Word combinations; Word segmentation; Social networking (online),Conference Paper,2-s2.0-85091845831,
ppr,Toponym Extraction in Thai Tweets Using a Hybrid Approach,2020,ACM International Conference Proceeding Series,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086138557&doi=10.1145%2f3385209.3385225&partnerID=40&md5=bfd7c33b60fb644f0597be2ece6ad13f,"Crowdsourcing has become an important tool in areas such as business and marketing. It can help organizations solve large-scale problems in areas including traffic management and political campaigning. Toponym extraction is necessary when analyzing crowdsourced data for traffic tracking or event reporting. Dictionaries and rule-based analysis are commonly used for matching and extracting entities from text. However, the creation of an effective dictionary is not an easy task, especially when the goal is to name a large number of locations. Named Entity Recognition (NER) can help address this, but the approach has certain limitations. In this paper, we describe an improved approach to toponym extraction from Twitter messages that combines a dictionary and NER. As tweets are limited to 280 characters, any locations mentioned are usually referred to using abbreviations. The variety of forms that location names take, and the unstructured language of tweets, are challenging both to the dictionary and NER methods. We divided tweets into four categories to investigate the effect of analyzing messages from different domains. The average accuracy was 49.18% when using only the dictionary, 59.30% when using only NER, and 75.43% when using the hybrid method. © 2020 ACM.",Dictionary; NER; Toponym extraction,Crowdsourcing; Location; Different domains; Event reporting; Hybrid approach; Large-scale problem; Named entity recognition; Political campaigning; Traffic management; Traffic tracking; Extraction,Conference Paper,2-s2.0-85086138557,
tnt,Simulation analysis of university hospital in the medical record department,2019,International Conference on ICT and Knowledge Engineering,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078998253&doi=10.1109%2fICTKE47035.2019.8966789&partnerID=40&md5=c0818b5a9c6d88aa7904de4c94d2180a,"Many hospitals have a problem dealing with the queue system in every department. The front-end department, which is the medical record department, is the first place to contact patients. It provides service for all type of out-patients, so out-patients have to wait for a long time. This results in low satisfaction of the patients. However, this department is working 24 hours, thus, it isdifficult to improve the queue system in a real environment. The simulation is an effective tool to solve the problem. Based on the data collection from Thammasat University hospital, the discrete event simulation model of this department is developed. Model verification and validation are conducted and the resultconfirms that the model is worked as calculated and generates the same result as in the real system. The aim of this paper is to develop the simulation model that provides an accurate analysis to help support a decision making of the hospital in the medical record department. © 2019 IEEE.",Discrete event simulation; Patient flow; University hospital,Decision making; Hospitals; Knowledge engineering; Accurate analysis; Data collection; Discrete-event simulation model; Model verification; Patient flow; Real environments; Simulation analysis; Simulation model; Discrete event simulation,Conference Paper,2-s2.0-85078998253,
ppr,EyeMath: Increasing Accessibility of Mathematics to Visually Impaired Readers,2019,ICSEC 2019 - 23rd International Computer Science and Engineering Conference,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081656218&doi=10.1109%2fICSEC47112.2019.8974682&partnerID=40&md5=6dc2b71acd7b11ad0b99e6690c51a0b4,"Mathematics education for visually impaired students is challenging because their learning materials are generally limited to braille books, and audiobooks. In order to increase the chance of learning mathematical content for people with visual impairment, this paper presents the design and development of a cloud-based mobile application called EyeMath, using serverless microservices in Amazon AWS. Users can provide images of page snippets for the application to process and read their content to the users. EyeMath segments an input image into smaller pieces and separates pieces that have only plain text from pieces with mathematical symbols. The mathematical-related pieces are further processed into an Abstract Syntax Tree (AST) and then parsed into Thai sentences. For plain text pieces, EyeMath relies on Tesseract OCR to convert them into text. Finally, results for all pieces are combined together systematically for the device's screen reader program to read aloud. The performance evaluation of the application shows high correctness in reading math content within test images and our usability testing confirms the potential usefulness of the application to visually impaired readers. © 2019 IEEE.",Image processing; Language parsing; Learning accessibility; Mathematical expression recognition; Mobile Application; Optical Character Recognition (OCR); Serverless microservices,Abstracting; Mobile computing; Optical character recognition; Optical data processing; Syntactics; Trees (mathematics); Language parsing; Learning accessibility; Mathematical expressions; Mobile applications; Optical character recognition (OCR); Serverless microservices; Image processing,Conference Paper,2-s2.0-85081656218,
